team_id,gameweek,rank,total_points,wins,draws,losses,points_for,points_against
1,38,1,72,0,0,0,1738,0
2,38,2,70,0,0,0,1563,0
3,38,3,62,0,0,0,1548,0
4,38,4,61,0,0,0,1695,0
5,38,5,61,0,0,0,1597,0
6,38,6,57,0,0,0,1532,0
7,38,7,48,0,0,0,1494,0
8,38,8,48,0,0,0,1456,0
9,38,9,43,0,0,0,1454,0
10,38,10,43,0,0,0,1324,0
11,0,1,0,0,0,0,0,0
11,1,5,1,0,0,0,45,45
11,2,8,1,0,0,0,80,90
11,3,5,4,0,0,0,133,119
11,4,5,7,0,0,0,194,139
11,5,5,10,0,0,0,240,177
11,6,5,10,0,0,0,267,213
11,7,5,10,0,0,0,313,263
11,8,7,10,0,0,0,343,299
11,9,5,13,0,0,0,399,347
11,10,4,16,5,1,4,424,368
11,11,5,16,5,1,5,461,422
11,12,6,16,5,1,6,495,462
11,13,6,16,5,1,7,546,518
11,14,6,19,6,1,7,590,549
11,15,5,22,7,1,7,619,577
11,16,6,22,7,1,8,649,621
11,17,6,22,7,1,9,703,691
11,18,5,25,8,1,9,745,728
11,19,5,28,9,1,9,788,765
11,20,5,31,10,1,9,829,794
11,21,5,34,11,1,9,879,832
11,22,4,37,12,1,9,945,869
11,23,4,40,13,1,9,1004,904
11,24,2,43,14,1,9,1076,963
11,25,3,43,14,1,10,1120,1008
11,26,3,43,14,1,11,1166,1067
11,27,4,43,14,1,12,1200,1122
11,28,5,43,14,1,13,1228,1153
11,29,5,46,15,1,13,1251,1167
11,30,5,46,15,1,14,1289,1210
11,31,5,49,16,1,14,1354,1229
11,32,5,49,16,1,15,1412,1299
11,33,4,52,17,1,15,1477,1349
11,34,4,52,17,1,16,1524,1401
11,35,6,52,17,1,17,1559,1445
11,36,7,52,17,1,18,1610,1499
11,37,7,52,17,1,19,1633,1540
11,38,7,52,17,1,20,1653,1581
12,0,1,0,0,0,0,0,0
12,1,4,3,0,0,0,38,31
12,2,2,6,0,0,0,90,73
12,3,2,9,0,0,0,138,100
12,4,1,12,0,0,0,184,124
12,5,1,15,0,0,0,220,155
12,6,1,18,0,0,0,256,182
12,7,1,18,0,0,0,281,215
12,8,2,18,0,0,0,303,259
12,9,1,21,0,0,0,334,285
12,10,3,21,7,0,3,368,327
12,11,3,21,7,0,4,400,365
12,12,2,24,8,0,4,441,402
12,13,3,24,8,0,5,466,447
12,14,3,24,8,0,6,497,516
12,15,3,24,8,0,7,525,545
12,16,3,27,9,0,7,561,580
12,17,3,30,10,0,7,606,621
12,18,4,30,10,0,8,632,651
12,19,3,33,11,0,8,694,691
12,20,2,36,12,0,8,739,725
12,21,4,36,12,0,9,771,781
12,22,3,39,13,0,9,807,806
12,23,2,42,14,0,9,861,845
12,24,3,42,14,0,10,920,917
12,25,2,45,15,0,10,963,957
12,26,2,48,16,0,10,1011,987
12,27,2,51,17,0,10,1073,1020
12,28,2,51,17,0,11,1098,1074
12,29,2,51,17,0,12,1130,1108
12,30,4,51,17,0,13,1152,1155
12,31,4,51,17,0,14,1189,1198
12,32,4,51,17,0,15,1220,1242
12,33,5,51,17,0,16,1270,1307
12,34,5,51,17,0,17,1286,1354
12,35,4,54,18,0,17,1327,1389
12,36,4,57,19,0,17,1363,1408
12,37,4,60,20,0,17,1400,1423
12,38,4,63,21,0,17,1438,1446
13,0,1,0,0,0,0,0,0
13,1,7,0,0,0,0,46,49
13,2,4,3,0,0,0,97,89
13,3,3,6,0,0,0,136,111
13,4,2,9,0,0,0,197,134
13,5,2,12,0,0,0,242,172
13,6,2,15,0,0,0,293,216
13,7,2,15,0,0,0,331,265
13,8,1,18,0,0,0,375,287
13,9,2,18,0,0,0,423,343
13,10,1,21,7,0,3,469,384
13,11,2,21,7,0,4,498,428
13,12,3,22,7,1,4,532,462
13,13,2,25,8,1,4,594,490
13,14,2,28,9,1,4,634,524
13,15,2,31,10,1,4,671,559
13,16,2,31,10,1,5,716,621
13,17,2,31,10,1,6,757,666
13,18,2,31,10,1,7,794,708
13,19,2,34,11,1,7,848,746
13,20,3,34,11,1,8,900,802
13,21,2,37,12,1,8,928,824
13,22,2,40,13,1,8,981,870
13,23,3,40,13,1,9,1021,918
13,24,4,40,13,1,10,1066,992
13,25,4,43,14,1,10,1117,1020
13,26,4,43,14,1,11,1147,1068
13,27,3,46,15,1,11,1202,1102
13,28,3,49,16,1,11,1250,1126
13,29,3,49,16,1,12,1299,1176
13,30,2,52,17,1,12,1341,1205
13,31,2,52,17,1,13,1387,1257
13,32,2,55,18,1,13,1435,1285
13,33,2,58,19,1,13,1508,1342
13,34,3,58,19,1,14,1532,1401
13,35,3,58,19,1,15,1567,1442
13,36,3,61,20,1,15,1621,1493
13,37,3,64,21,1,15,1697,1538
13,38,3,64,21,1,16,1740,1584
14,0,1,0,0,0,0,0,0
14,1,1,1,0,0,0,49,46
14,2,1,1,0,0,0,102,94
14,3,4,4,0,0,0,131,147
14,4,3,9,0,0,0,178,178
14,5,3,12,0,0,0,226,216
14,6,4,12,0,0,0,250,261
14,7,3,13,0,0,0,292,303
14,8,4,13,0,0,0,325,348
14,9,6,13,0,0,0,351,379
14,10,6,13,4,1,5,392,425
14,11,8,13,4,1,6,416,464
14,12,7,16,5,1,6,456,498
14,13,7,16,5,1,7,511,561
14,14,8,16,5,1,8,540,598
14,15,7,19,6,1,8,572,619
14,16,9,19,6,1,9,615,686
14,17,10,19,6,1,10,633,747
14,18,8,22,7,1,10,663,773
14,19,9,22,7,1,11,701,827
14,20,9,22,7,1,12,718,874
14,21,9,22,7,1,13,756,924
14,22,9,25,8,1,13,802,967
14,23,10,25,8,1,14,834,1015
14,24,9,28,9,1,14,870,1043
14,25,8,31,10,1,14,907,1062
14,26,9,31,10,1,15,953,1133
14,27,10,31,10,1,16,986,1195
14,28,10,31,10,1,17,1010,1243
14,29,10,31,10,1,18,1036,1274
14,30,10,34,11,1,18,1079,1312
14,31,10,34,11,1,19,1099,1347
14,32,10,34,11,1,20,1129,1386
14,33,10,34,11,1,21,1158,1427
14,34,10,37,12,1,21,1180,1446
14,35,9,40,13,1,21,1210,1468
14,36,9,40,13,1,22,1229,1504
14,37,10,40,13,1,23,1274,1580
14,38,10,40,13,1,24,1290,1633
15,0,1,0,0,0,0,0,0
15,1,2,3,0,0,0,44,24
15,2,3,6,0,0,0,89,59
15,3,1,9,0,0,0,141,93
15,4,4,9,0,0,0,165,139
15,5,4,12,0,0,0,222,181
15,6,3,12,0,0,0,266,232
15,7,4,12,0,0,0,307,280
15,8,3,15,0,0,0,352,313
15,9,3,18,0,0,0,403,337
15,10,2,21,7,0,3,440,366
15,11,1,24,8,0,3,494,403
15,12,1,27,9,0,3,545,444
15,13,1,30,10,0,3,590,469
15,14,1,33,11,0,3,636,504
15,15,1,33,11,0,4,671,541
15,16,1,33,11,0,5,690,578
15,17,1,36,12,0,5,751,596
15,18,1,39,13,0,5,798,634
15,19,1,42,14,0,5,849,668
15,20,1,42,14,0,6,878,709
15,21,1,42,14,0,7,914,767
15,22,1,42,14,0,8,939,803
15,23,1,42,14,0,9,971,851
15,24,1,45,15,0,9,1045,896
15,25,1,45,15,0,10,1102,963
15,26,1,48,16,0,10,1173,1009
15,27,1,51,17,0,10,1221,1051
15,28,1,54,18,0,10,1278,1086
15,29,1,54,18,0,11,1292,1109
15,30,1,54,18,0,12,1321,1157
15,31,1,57,19,0,12,1364,1194
15,32,1,60,20,0,12,1416,1226
15,33,1,60,20,0,13,1473,1299
15,34,1,63,21,0,13,1532,1344
15,35,1,63,21,0,14,1554,1374
15,36,1,66,22,0,14,1593,1400
15,37,1,66,22,0,15,1627,1435
15,38,1,69,23,0,15,1668,1455
16,0,1,0,0,0,0,0,0
16,1,3,3,0,0,0,43,31
16,2,5,3,0,0,0,91,84
16,3,6,3,0,0,0,125,136
16,4,6,6,0,0,0,151,157
16,5,6,6,0,0,0,182,193
16,6,7,6,0,0,0,220,256
16,7,6,9,0,0,0,269,294
16,8,5,12,0,0,0,305,324
16,9,4,15,0,0,0,344,362
16,10,5,15,5,0,5,373,425
16,11,4,18,6,0,5,412,449
16,12,4,18,6,0,6,453,500
16,13,5,18,6,0,7,472,544
16,14,4,21,7,0,7,541,575
16,15,6,21,7,0,8,578,627
16,16,4,24,8,0,8,640,672
16,17,4,27,9,0,8,710,726
16,18,3,30,10,0,8,765,774
16,19,4,30,10,0,9,793,821
16,20,4,33,11,0,9,840,838
16,21,3,36,12,0,9,898,874
16,22,5,36,12,0,10,928,921
16,23,5,36,12,0,11,967,975
16,24,5,39,13,0,11,1013,1007
16,25,5,39,13,0,12,1041,1058
16,26,5,42,14,0,12,1100,1104
16,27,5,42,14,0,13,1132,1156
16,28,4,45,15,0,13,1183,1187
16,29,4,48,16,0,13,1214,1213
16,30,3,51,17,0,13,1262,1242
16,31,3,51,17,0,14,1285,1276
16,32,3,54,18,0,14,1329,1307
16,33,3,57,19,0,14,1374,1349
16,34,2,60,20,0,14,1433,1373
16,35,2,63,21,0,14,1477,1408
16,36,2,66,22,0,14,1515,1444
16,37,2,66,22,0,15,1552,1495
16,38,2,69,23,0,15,1605,1511
17,0,1,0,0,0,0,0,0
17,1,10,0,0,0,0,24,44
17,2,6,3,0,0,0,76,69
17,3,7,3,0,0,0,103,117
17,4,7,3,0,0,0,123,178
17,5,7,3,0,0,0,161,223
17,6,6,6,0,0,0,224,261
17,7,8,7,0,0,0,266,303
17,8,9,7,0,0,0,297,339
17,9,8,10,0,0,0,331,370
17,10,9,10,3,1,6,360,407
17,11,9,10,3,1,7,396,465
17,12,10,10,3,1,8,433,506
17,13,10,13,4,1,8,489,557
17,14,10,13,4,1,9,523,597
17,15,9,16,5,1,9,575,634
17,16,8,19,6,1,9,642,677
17,17,7,22,7,1,9,687,705
17,18,6,25,8,1,9,731,725
17,19,6,25,8,1,10,765,776
17,20,6,28,9,1,10,815,813
17,21,6,31,10,1,10,871,845
17,22,6,31,10,1,11,908,911
17,23,6,34,11,1,11,956,951
17,24,6,34,11,1,12,988,997
17,25,6,34,11,1,13,1007,1034
17,26,7,34,11,1,14,1037,1070
17,27,8,34,11,1,15,1061,1110
17,28,8,34,11,1,16,1096,1167
17,29,9,34,11,1,17,1133,1211
17,30,9,37,12,1,17,1180,1233
17,31,9,37,12,1,18,1199,1298
17,32,9,37,12,1,19,1227,1346
17,33,9,37,12,1,20,1269,1391
17,34,9,37,12,1,21,1288,1413
17,35,10,37,12,1,22,1333,1460
17,36,10,37,12,1,23,1379,1516
17,37,9,40,13,1,23,1414,1550
17,38,9,43,14,1,23,1449,1578
18,0,1,0,0,0,0,0,0
18,1,5,1,0,0,0,45,45
18,2,7,1,0,0,0,85,96
18,3,8,2,0,0,0,114,125
18,4,8,2,0,0,0,145,172
18,5,8,2,0,0,0,187,229
18,6,8,5,0,0,0,220,257
18,7,7,8,0,0,0,253,282
18,8,6,11,0,0,0,289,313
