team_id,gameweek,rank,total_points,wins,draws,losses,points_for,points_against
21,24,3,42,14,0,10,1062,1003
21,25,2,45,15,0,10,1100,1037
21,26,2,48,16,0,10,1150,1079
21,27,2,51,17,0,10,1203,1115
21,28,2,54,18,0,10,1247,1154
21,29,2,57,19,0,10,1302,1193
21,30,2,60,20,0,10,1333,1222
21,31,2,61,20,1,10,1360,1249
21,32,2,61,20,1,11,1411,1303
21,33,2,61,20,1,12,1475,1373
21,34,2,61,20,1,13,1508,1415
21,35,2,61,20,1,14,1535,1460
21,36,2,64,21,1,14,1592,1507
21,37,2,64,21,1,15,1624,1548
21,38,2,67,22,1,15,1668,1576
25,24,7,31,10,1,13,928,1011
25,25,6,34,11,1,13,977,1046
25,26,7,34,11,1,14,1002,1074
25,27,7,37,12,1,14,1060,1114
25,28,7,37,12,1,15,1080,1163
25,29,7,37,12,1,16,1119,1218
25,30,8,37,12,1,17,1152,1256
25,31,7,40,13,1,17,1195,1275
25,32,7,43,14,1,17,1249,1327
25,33,7,43,14,1,18,1301,1415
25,34,7,43,14,1,19,1335,1468
25,35,7,46,15,1,19,1382,1503
25,36,7,49,16,1,19,1426,1539
25,37,7,49,16,1,20,1465,1587
25,38,7,49,16,1,21,1493,1631
23,24,8,30,10,0,14,1004,1003
23,25,7,33,11,0,14,1066,1030
23,26,5,36,12,0,14,1128,1056
23,27,5,39,13,0,14,1180,1102
23,28,5,42,14,0,14,1229,1122
23,29,4,45,15,0,14,1266,1147
23,30,5,45,15,0,15,1299,1190
23,31,5,46,15,1,15,1326,1217
23,32,4,49,16,1,15,1365,1255
23,33,5,49,16,1,16,1427,1328
23,34,4,52,17,1,16,1462,1348
23,35,5,52,17,1,17,1489,1395
23,36,5,52,17,1,18,1518,1470
23,37,5,55,18,1,18,1566,1509
23,38,5,58,19,1,18,1601,1536
24,24,4,37,12,1,11,1007,964
24,25,4,40,13,1,11,1042,997
24,26,4,40,13,1,12,1087,1050
24,27,4,43,14,1,12,1111,1073
24,28,4,43,14,1,13,1156,1119
24,29,5,43,14,1,14,1210,1187
24,30,4,46,15,1,14,1253,1220
24,31,6,46,15,1,15,1272,1263
24,32,6,46,15,1,16,1299,1302
24,33,6,49,16,1,16,1369,1366
24,34,5,52,17,1,16,1423,1394
24,35,4,55,18,1,16,1480,1432
24,36,4,58,19,1,16,1527,1460
24,37,4,61,20,1,16,1581,1498
24,38,4,61,20,1,17,1621,1549
26,24,6,33,11,0,13,942,988
26,25,5,36,12,0,13,994,1035
26,26,6,36,12,0,14,1036,1085
26,27,6,39,13,0,14,1094,1122
26,28,6,39,13,0,15,1126,1179
26,29,6,42,14,0,15,1176,1214
26,30,6,45,15,0,15,1214,1247
26,31,4,48,16,0,15,1250,1275
26,32,3,51,17,0,15,1289,1302
26,33,3,54,18,0,15,1362,1364
26,34,3,57,19,0,15,1399,1389
26,35,3,60,20,0,15,1444,1416
26,36,3,63,21,0,15,1504,1443
26,37,3,63,21,0,16,1528,1485
26,38,3,66,22,0,16,1563,1518
30,24,2,42,14,0,10,1071,1042
30,25,3,42,14,0,11,1118,1094
30,26,3,45,15,0,11,1171,1139
30,27,3,45,15,0,12,1207,1192
30,28,3,48,16,0,12,1252,1210
30,29,3,48,16,0,13,1280,1248
30,30,3,48,16,0,14,1325,1306
30,31,3,48,16,0,15,1374,1357
30,32,5,48,16,0,16,1412,1396
30,33,4,51,17,0,16,1500,1448
30,34,6,51,17,0,17,1525,1485
30,35,6,51,17,0,18,1563,1542
30,36,6,51,17,0,19,1610,1599
30,37,6,54,18,0,19,1679,1633
30,38,6,57,19,0,19,1732,1664
27,24,5,33,11,0,13,955,1004
27,25,8,33,11,0,14,988,1039
27,26,8,33,11,0,15,1014,1101
27,27,8,33,11,0,16,1051,1159
27,28,8,33,11,0,17,1090,1203
27,29,8,36,12,0,17,1128,1231
27,30,7,39,13,0,17,1192,1282
27,31,8,39,13,0,18,1229,1320
27,32,8,39,13,0,19,1281,1374
27,33,8,42,14,0,19,1355,1412
27,34,8,42,14,0,20,1383,1466
27,35,8,45,15,0,20,1430,1493
27,36,8,45,15,0,21,1457,1553
27,37,8,48,16,0,21,1498,1585
27,38,8,48,16,0,22,1529,1638
22,24,9,27,9,0,15,890,1056
22,25,9,27,9,0,16,917,1118
22,26,9,30,10,0,16,945,1143
22,27,9,30,10,0,17,968,1167
22,28,9,30,10,0,18,986,1212
22,29,9,30,10,0,19,1021,1262
22,30,10,30,10,0,20,1050,1293
22,31,9,33,11,0,20,1088,1330
22,32,9,34,11,1,20,1125,1367
22,33,9,37,12,1,20,1172,1413
22,34,9,37,12,1,21,1192,1448
22,35,10,37,12,1,22,1227,1495
22,36,10,37,12,1,23,1255,1542
22,37,10,37,12,1,24,1289,1611
22,38,10,37,12,1,25,1322,1646
28,24,1,63,21,0,3,1149,867
28,25,1,63,21,0,4,1184,916
28,26,1,63,21,0,5,1230,964
28,27,1,63,21,0,6,1276,1016
28,28,1,66,22,0,6,1333,1048
28,29,1,69,23,0,6,1401,1102
28,30,1,69,23,0,7,1452,1166
28,31,1,72,24,0,7,1503,1215
28,32,1,75,25,0,7,1557,1266
28,33,1,75,25,0,8,1603,1313
28,34,1,78,26,0,8,1656,1347
28,35,1,78,26,0,9,1687,1413
28,36,1,81,27,0,9,1762,1442
28,37,1,84,28,0,9,1804,1466
28,38,1,87,29,0,9,1855,1506
29,24,10,21,7,0,17,972,1042
29,25,10,21,7,0,18,1006,1080
29,26,10,24,8,0,18,1054,1126
29,27,10,24,8,0,19,1094,1184
29,28,10,27,9,0,19,1140,1229
29,29,10,27,9,0,20,1165,1266
